Tarefa;p;Abordagem;Legenda;Valor
Task 1;p-value=0.651;XChange;Correct;23
Task 1;p-value=0.651;XChange;Partially Correct;0
Task 1;p-value=0.651;XChange;Wrong;6
Task 1;p-value=0.651;XDiff;Correct;26
Task 1;p-value=0.651;XDiff;Partially Correct;0
Task 1;p-value=0.651;XDiff;Wrong;5
Task 2;p-value=0.008;XChange;Correct;20
Task 2;p-value=0.008;XChange;Partially Correct;6
Task 2;p-value=0.008;XChange;Wrong;3
Task 2;p-value=0.008;XDiff;Correct;14
Task 2;p-value=0.008;XDiff;Partially Correct;0
Task 2;p-value=0.008;XDiff;Wrong;17
Task 3;p-value=0.734;XChange;Correct;23
Task 3;p-value=0.734;XChange;Partially Correct;4
Task 3;p-value=0.734;XChange;Wrong;2
Task 3;p-value=0.734;XDiff;Correct;24
Task 3;p-value=0.734;XDiff;Partially Correct;2
Task 3;p-value=0.734;XDiff;Wrong;5
Task 4;p-value=0.018;XChange;Correct;30
Task 4;p-value=0.018;XChange;Partially Correct;0
Task 4;p-value=0.018;XChange;Wrong;1
Task 4;p-value=0.018;XDiff;Correct;22
Task 4;p-value=0.018;XDiff;Partially Correct;0
Task 4;p-value=0.018;XDiff;Wrong;7
Task 5;p-value=0.273;XChange;Correct;30
Task 5;p-value=0.273;XChange;Partially Correct;0
Task 5;p-value=0.273;XChange;Wrong;1
Task 5;p-value=0.273;XDiff;Correct;26
Task 5;p-value=0.273;XDiff;Partially Correct;0
Task 5;p-value=0.273;XDiff;Wrong;3
Task 6;p-value<0.001;XChange;Correct;28
Task 6;p-value<0.001;XChange;Partially Correct;0
Task 6;p-value<0.001;XChange;Wrong;3
Task 6;p-value<0.001;XDiff;Correct;7
Task 6;p-value<0.001;XDiff;Partially Correct;0
Task 6;p-value<0.001;XDiff;Wrong;22
