Tarefa;p;Abordagem;Tempo;Minute;Hour;Acerto;Titulos;Tarefas;;T1.XC;T1.XD;T2.XC;T2.XD;T3.XC;T3.XD;T4.XC;T4.XC;T5.XC;T5.XD;T6.XC;T6.XD
Task 1;p=0.946;XChange;204;3,4;0,056666667;1;XChange;Task 1;Acertou;23;26;20;14;23;24;30;22;30;26;28;7
Task 1;p=0.946;XChange;279;4,65;0,0775;1;XDiff;Task 2;Errou;6;5;3;17;2;5;1;7;1;3;3;22
Task 1;p=0.946;XChange;129;2,15;0,035833333;0;XChange;Task 3;Meio Certo;0;0;6;0;4;2;0;0;0;0;0;0
Task 1;p=0.946;XChange;368;6,133333333;0,102222222;0;XDiff;Task 4;;;;;;;;;;;;;
Task 1;p=0.946;XChange;234;3,9;0,065;1;XChange;Task 5;;;;;;;;;;;;;
Task 1;p=0.946;XChange;223;3,716666667;0,061944444;1;XDiff;Task 6;;;;;;;;;;;;;
Task 1;p=0.946;XChange;1218;20,3;0,338333333;1;XChange;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;230;3,833333333;0,063888889;1;XDiff;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;1465;24,41666667;0,406944444;1;XChange;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;660;11;0,183333333;1;XDiff;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;660;11;0,183333333;1;XChange;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;300;5;0,083333333;0;XDiff;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;360;6;0,1;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;303;5,05;0,084166667;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;180;3;0,05;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;360;6;0,1;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;120;2;0,033333333;0;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;300;5;0,083333333;0;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;140;2,333333333;0,038888889;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;218;3,633333333;0,060555556;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;103;1,716666667;0,028611111;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;293;4,883333333;0,081388889;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;217;3,616666667;0,060277778;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;231;3,85;0,064166667;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;230;3,833333333;0,063888889;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;181;3,016666667;0,050277778;0;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;181;3,016666667;0,050277778;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;351;5,85;0,0975;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;279;4,65;0,0775;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;NA;NA;NA;NA;;;;;;;;;;;;;;;
Task 1;p=0.946;XChange;NA;NA;NA;NA;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;220;3,666666667;0,061111111;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;229;3,816666667;0,063611111;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;295;4,916666667;0,081944444;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;172;2,866666667;0,047777778;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;285;4,75;0,079166667;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;244;4,066666667;0,067777778;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;410;6,833333333;0,113888889;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;320;5,333333333;0,088888889;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;240;4;0,066666667;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;298;4,966666667;0,082777778;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;780;13;0,216666667;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;600;10;0,166666667;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;660;11;0,183333333;0;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;420;7;0,116666667;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;240;4;0,066666667;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;219;3,65;0,060833333;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;360;6;0,1;0;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;152;2,533333333;0,042222222;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;116;1,933333333;0,032222222;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;126;2,1;0,035;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;119;1,983333333;0,033055556;0;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;198;3,3;0,055;0;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;409;6,816666667;0,113611111;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;355;5,916666667;0,098611111;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;629;10,48333333;0,174722222;0;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;73;1,216666667;0,020277778;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;189;3,15;0,0525;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;197;3,283333333;0,054722222;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;235;3,916666667;0,065277778;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;188;3,133333333;0,052222222;1;;;;;;;;;;;;;;;
Task 1;p=0.946;XDiff;281;4,683333333;0,078055556;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;264;4,4;0,073333333;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;333;5,55;0,0925;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;230;3,833333333;0,063888889;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;162;2,7;0,045;0,5;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;212;3,533333333;0,058888889;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;1410;23,5;0,391666667;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;287;4,783333333;0,079722222;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;178;2,966666667;0,049444444;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;546;9,1;0,151666667;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;300;5;0,083333333;0,5;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;1020;17;0,283333333;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;180;3;0,05;0,5;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;180;3;0,05;0,5;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;227;3,783333333;0,063055556;0,5;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;240;4;0,066666667;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;171;2,85;0,0475;0,5;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;180;3;0,05;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;180;3;0,05;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;268;4,466666667;0,074444444;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;55;0,916666667;0,015277778;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;357;5,95;0,099166667;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;179;2,983333333;0,049722222;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;75;1,25;0,020833333;1;;;;;;;;;;;;;;;
