Tarefa;Abordagem;p;Acerto;Tempo;APS;horas;APH;Minutos;APM;T1.XC.APS;T1.XD.APS;T2.XC.APS;T2.XD.APS;T3.XC.APS;T3.XD.APS;T4.XC.APS;T4.XD.APS;T5.XC.APS;T5.XD.APS;T6.XC.APS;T6.XD.APS
Task 1;XChange;p-value=0,6775;1;204;0,004902;0,056666667;17,64705882;3,4;0,294117647;0,004902;0,004545;0,003788;0,002392;0,002141;0,004926;0,004926;0,003509;0,010989;0,001379;0,027027;0,001656
Task 1;XChange;p-value=0,6775;1;279;0,003584;0,0775;12,90322581;4,65;0,215053763;0,003584;0,004367;0,003003;0,002252;0,002146;0,003279;0,008696;0,002208;0,00365;0,002208;0,003058;0,001667
Task 1;XChange;p-value=0,6775;1;234;0,004274;0,065;15,38461538;3,9;0,256410256;0,004274;0,00339;0,004348;0,001484;0,002933;0,006993;0,003279;0,012195;0,005848;0,003125;0,034483;0,002217
Task 1;XChange;p-value=0,6775;1;223;0,004484;0,061944444;16,14349776;3,716666667;0,269058296;0,004484;0,005814;0,004717;0,004167;0,004329;0,007407;0,006993;0,003268;0,012346;0,002041;0,011111;0,002545
Task 1;XChange;p-value=0,6775;1;1218;0,000821;0,338333333;2,955665025;20,3;0,049261084;0,000821;0,003509;0,005618;0,001111;0,002525;0,004167;0,007407;0,006897;0,00625;0,004695;0,008696;0,00578
Task 1;XChange;p-value=0,6775;1;230;0,004348;0,063888889;15,65217391;3,833333333;0,260869565;0,004348;0,004098;0,001832;0,002817;0,004098;0,002899;0,004167;0,008264;0,005556;0,002841;0,005556;0,003891
Task 1;XChange;p-value=0,6775;1;1465;0,000683;0,406944444;2,457337884;24,41666667;0,040955631;0,000683;0,002439;0,00098;0,001795;0,004167;0,008333;0,002899;0,003367;0,005556;0,015625;0,004444;0,003937
Task 1;XChange;p-value=0,6775;1;660;0,001515;0,183333333;5,454545455;11;0,090909091;0,001515;0,003125;0,004167;0,001667;0,003333;0,006579;0,00565;0,005556;0,007937;0,001449;0,002096;
Task 1;XChange;p-value=0,6775;1;660;0,001515;0,183333333;5,454545455;11;0,090909091;0,001515;0,004167;0,005556;0,001965;0,003333;0,002381;0,008333;0,001667;0,016667;0,001575;0,008333;
Task 1;XChange;p-value=0,6775;1;360;0,002778;0,1;10;6;0,166666667;0,002778;0,003356;0,005556;0,003125;0,002833;0,005556;0,006579;0,003333;0,008621;0,004167;0,041667;
Task 1;XChange;p-value=0,6775;1;303;0,0033;0,084166667;11,88118812;5,05;0,198019802;0,0033;0,001282;0,003731;0,001088;0,003333;0,003003;0,003333;0,009346;0,008333;0,00119;0,004167;
Task 1;XChange;p-value=0,6775;1;180;0,005556;0,05;20;3;0,333333333;0,005556;0,001667;0,018182;0,001905;0,00565;0,004902;0,003333;0,005556;0,008333;0,002778;0,008333;
Task 1;XChange;p-value=0,6775;1;360;0,002778;0,1;10;6;0,166666667;0,002778;0,002381;0,002801;0,001709;0,008333;0,009804;0,002381;0,003448;0,008333;0,004167;0,016667;
Task 1;XChange;p-value=0,6775;1;140;0,007143;0,038888889;25,71428571;2,333333333;0,428571429;0,007143;0,004167;0,013333;0,002786;0,008264;0,006452;0,005556;0,002747;0,004167;0,003175;0,033333;
Task 1;XChange;p-value=0,6775;1;218;0,004587;0,060555556;16,51376147;3,633333333;0,275229358;0,004587;0,004566;0,001087;;0,004464;0,00369;0,016667;0,004292;0,008333;0,002083;0,016667;
Task 1;XChange;p-value=0,6775;1;103;0,009709;0,028611111;34,95145631;1,716666667;0,582524272;0,009709;0,006579;0,003448;;0,004651;0,003984;0,003003;0,003861;0,005291;0,002611;0,010101;
Task 1;XChange;p-value=0,6775;1;293;0,003413;0,081388889;12,28668942;4,883333333;0,204778157;0,003413;0,008621;0,005319;;0,009346;0,007407;0,002778;0,011628;0,005556;0,008333;0,011364;
Task 1;XChange;p-value=0,6775;1;217;0,004608;0,060277778;16,58986175;3,616666667;0,276497696;0,004608;0,007937;0,003311;;0,004831;0,001855;0,004902;0,013889;0,010204;0,002083;0,025641;
Task 1;XChange;p-value=0,6775;1;231;0,004329;0,064166667;15,58441558;3,85;0,25974026;0,004329;0,002445;0,006369;;0,003891;0,008929;0,009804;0,004348;0,014706;0,001873;0,066667;
Task 1;XChange;p-value=0,6775;1;230;0,004348;0,063888889;15,65217391;3,833333333;0,260869565;0,004348;0,002817;0,006579;;0,002985;0,001736;0,006452;0,008772;0,035714;0,001919;0,010526;
Task 1;XChange;p-value=0,6775;1;181;0,005525;0,050277778;19,88950276;3,016666667;0,331491713;0,005525;0,013699;;;0,001969;0,009901;0,00369;0,011236;0,007246;0,001894;0,041667;
Task 1;XChange;p-value=0,6775;1;351;0,002849;0,0975;10,25641026;5,85;0,170940171;0,002849;0,005291;;;0,006369;0,003378;0,003984;0,003205;0,013889;0,004255;0,008;
Task 1;XChange;p-value=0,6775;1;279;0,003584;0,0775;12,90322581;4,65;0,215053763;0,003584;0,005076;;;0,004049;0,006452;0,002037;;0,00578;0,004032;0,005236;
Task 1;XDiff;p-value=0,6775;1;220;0,004545;0,061111111;16,36363636;3,666666667;0,272727273;;0,004255;;;;0,006061;0,007407;;0,002941;0,003597;0,006993;
Task 1;XDiff;p-value=0,6775;1;229;0,004367;0,063611111;15,72052402;3,816666667;0,262008734;;0,005319;;;;;0,001855;;0,009259;0,002257;0,029412;
Task 1;XDiff;p-value=0,6775;1;295;0,00339;0,081944444;12,20338983;4,916666667;0,203389831;;0,003559;;;;;0,008929;;0,055556;0,001901;0,009901;
Task 1;XDiff;p-value=0,6775;1;172;0,005814;0,047777778;20,93023256;2,866666667;0,348837209;;;;;;;0,009901;;0,021739;;0,025;
Task 1;XDiff;p-value=0,6775;1;285;0,003509;0,079166667;12,63157895;4,75;0,210526316;;;;;;;0,003378;;0,007519;;0,023256;
Task 1;XDiff;p-value=0,6775;1;244;0,004098;0,067777778;14,75409836;4,066666667;0,245901639;;;;;;;0,006452;;0,02;;;
Task 1;XDiff;p-value=0,6775;1;410;0,002439;0,113888889;8,780487805;6,833333333;0,146341463;;;;;;;0,006061;;0,01;;;
Task 1;XDiff;p-value=0,6775;1;320;0,003125;0,088888889;11,25;5,333333333;0,1875;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;298;0,003356;0,082777778;12,08053691;4,966666667;0,201342282;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;780;0,001282;0,216666667;4,615384615;13;0,076923077;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;600;0,001667;0,166666667;6;10;0,1;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;420;0,002381;0,116666667;8,571428571;7;0,142857143;;;;;;;;;;;;
