@relation employee
@attribute 'deptname' { t}
@attribute 'hiredate' { t}
@attribute 'salary' { t}
@attribute 'title' { t}
@attribute 'birthdate' { t}
@attribute 'firstname' { t}
@attribute 'lastname' { t}
@attribute 'sex' { t}
@data

?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
t,?,?,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,t,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,t,?,?,?,?
?,?,t,?,?,?,?,?
t,?,t,?,?,?,?,?
?,?,t,?,?,?,?,?
